"Query"	"Lowest E-value"	"Description (E-value)"
Rana_pipiens_Transcript_004127	1.25E-7	BP718089 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL438i06ex 3', mRNA sequence
Rana_pipiens_Transcript_005302	0.0169377	AGENCOURT_13997864 NICHD_XGC_Tad1 Xenopus laevis cDNA clone IMAGE:6937778 5', mRNA sequence
Rana_pipiens_Transcript_006037	2.742E-151	AGENCOURT_90759658 NICHD_XGC_int_m Xenopus laevis cDNA clone IMAGE:8823121 5', mRNA sequence
Rana_pipiens_Transcript_007487	1.119E-154	AGENCOURT_8098614 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5570838 5', mRNA sequence
Rana_pipiens_Transcript_007788		not available
Rana_pipiens_Transcript_008016		not available
Rana_pipiens_Transcript_009811	4.473E-145	BJ625404 NIBB Mochii normalized Xenopus early gastrula library Xenopus laevis cDNA clone XL211h15 5', mRNA sequence
Rana_pipiens_Transcript_010934		not available
Rana_pipiens_Transcript_011387	1.46E-128	DC121979 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl296d04 5', mRNA sequence
Rana_pipiens_Transcript_011900	1.31642	AGENCOURT_69684691 NICHD_XGC_Emb10 Xenopus laevis cDNA clone IMAGE:8317813 5', mRNA sequence
Rana_pipiens_Transcript_013766	8.933E-126	DC054446 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk5l09ex 5', mRNA sequence
Rana_pipiens_Transcript_014062	3.033E-104	DC013238 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone rxlk133k17ex 3', mRNA sequence
Rana_pipiens_Transcript_014063	2.997E-104	DC013238 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone rxlk133k17ex 3', mRNA sequence
Rana_pipiens_Transcript_015639		not available
Rana_pipiens_Transcript_015920		not available
Rana_pipiens_Transcript_018432		not available
Rana_pipiens_Transcript_022409		not available
Rana_pipiens_Transcript_023205	2.074E-171	BX854693 Soares NXEG Xenopus laevis cDNA clone IMAGp998G238089; IMAGE:3302446 5', mRNA sequence
Rana_pipiens_Transcript_023251		not available
Rana_pipiens_Transcript_023732		not available
Rana_pipiens_Transcript_024734		not available
Rana_pipiens_Transcript_024761		not available
Rana_pipiens_Transcript_024877		not available
Rana_pipiens_Transcript_028303		not available
Rana_pipiens_Transcript_028312	3.091E-89	AGENCOURT_10493775 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6640110 5', mRNA sequence
Rana_pipiens_Transcript_029821	1.376E-45	DC113942 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl267e18 5', mRNA sequence
Rana_pipiens_Transcript_029962	5.829E-127	BX852050 Wellcome CRC pRN3 dorsal lip Xenopus laevis cDNA clone IMAGp998K038489; IMAGE:3473786 5', mRNA sequence
Rana_pipiens_Transcript_029965	5.86E-127	BX852050 Wellcome CRC pRN3 dorsal lip Xenopus laevis cDNA clone IMAGp998K038489; IMAGE:3473786 5', mRNA sequence
Rana_pipiens_Transcript_029966	5.768E-127	BX852050 Wellcome CRC pRN3 dorsal lip Xenopus laevis cDNA clone IMAGp998K038489; IMAGE:3473786 5', mRNA sequence
Rana_pipiens_Transcript_030062	1.93E-85	DC099520 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone rxl317i20 3', mRNA sequence
Rana_pipiens_Transcript_030063		not available
Rana_pipiens_Transcript_030064		not available
Rana_pipiens_Transcript_030069		not available
Rana_pipiens_Transcript_031634	9.119E-92	xl11074G05R_1382845 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11074G05 3', mRNA sequence
Rana_pipiens_Transcript_032583	1.124E-74	xl11076E01R_1383214 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11076E01 3', mRNA sequence
Rana_pipiens_Transcript_032594	2.823E-78	BJ092222 NIBB Mochii normalized Xenopus tailbud library Xenopus laevis cDNA clone XL064i06 3', mRNA sequence
Rana_pipiens_Transcript_034142	1.574E-175	AGENCOURT_56021532 NICHD_XGC_FaBN Xenopus laevis cDNA clone IMAGE:8077577 5', mRNA sequence
Rana_pipiens_Transcript_034665		not available
Rana_pipiens_Transcript_036287	6.934E-59	DC095476 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone rxl327m24 3', mRNA sequence
Rana_pipiens_Transcript_037459	9.887E-148	AGENCOURT_55139795 NICHD_XGC_Emb9 Xenopus laevis cDNA clone IMAGE:7978000 5', mRNA sequence
Rana_pipiens_Transcript_037946		not available
Rana_pipiens_Transcript_040017		not available
Rana_pipiens_Transcript_040901		not available
Rana_pipiens_Transcript_040903		not available
Rana_pipiens_Transcript_041028		not available
Rana_pipiens_Transcript_042529		not available
Rana_pipiens_Transcript_042531	3.078E-171	BP695146 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL476k05ex 5', mRNA sequence
Rana_pipiens_Transcript_042533	1.954E-31	BJ638975 NIBB Mochii normalized Xenopus early gastrula library Xenopus laevis cDNA clone XL200h17 3', mRNA sequence
Rana_pipiens_Transcript_042534	3.372E-171	BP695146 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL476k05ex 5', mRNA sequence
Rana_pipiens_Transcript_048338	1.245E-35	DC041940 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk119o12ex 5', mRNA sequence
Rana_pipiens_Transcript_048344	6.597E-60	xl11075B09R_1383089 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11075B09 3', mRNA sequence
Rana_pipiens_Transcript_051210		not available
Rana_pipiens_Transcript_052251	7.912E-134	AGENCOURT_10308165 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:5084135 5', mRNA sequence
Rana_pipiens_Transcript_052751		not available
Rana_pipiens_Transcript_052777	6.809E-140	xl11008B01R_1374419 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11008B01 3', mRNA sequence
Rana_pipiens_Transcript_053101		not available
Rana_pipiens_Transcript_057057		not available
Rana_pipiens_Transcript_058966		not available
Rana_pipiens_Transcript_058967		not available
Rana_pipiens_Transcript_062793		not available
Rana_pipiens_Transcript_065174	1.796E-51	AGENCOURT_14011332 NICHD_XGC_Tad1 Xenopus laevis cDNA clone IMAGE:6940195 5', mRNA sequence
Rana_pipiens_Transcript_068328	1.907E-116	AGENCOURT_10801946 Wellcome CRC pSK egg Xenopus laevis cDNA clone IMAGE:6323817 5', mRNA sequence
Rana_pipiens_Transcript_068521	3.673E-151	AGENCOURT_10315923 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:5154946 5', mRNA sequence
Rana_pipiens_Transcript_069491	9.754E-75	AGENCOURT_10316298 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:5083712 5', mRNA sequence
Rana_pipiens_Transcript_070199	4.252E-111	BJ639853 NIBB Mochii normalized Xenopus early gastrula library Xenopus laevis cDNA clone XL203k22 3', mRNA sequence
Rana_pipiens_Transcript_070275	2.552E-24	AGENCOURT_74349767 NICHD_XGC_limb_m Xenopus laevis cDNA clone IMAGE:8534149 5', mRNA sequence
Rana_pipiens_Transcript_071024	1.154E-68	BJ066773 NIBB Mochii normalized Xenopus tailbud library Xenopus laevis cDNA clone XL088c16 5', mRNA sequence
Rana_pipiens_Transcript_071028	1.808E-68	BJ066773 NIBB Mochii normalized Xenopus tailbud library Xenopus laevis cDNA clone XL088c16 5', mRNA sequence
Rana_pipiens_Transcript_073648	6.187E-176	AGENCOURT_14214422 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946739 5', mRNA sequence
Rana_pipiens_Transcript_073649	6.115E-176	AGENCOURT_14214422 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946739 5', mRNA sequence
Rana_pipiens_Transcript_077688	4.788E-174	BP708649 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL495i13ex 5', mRNA sequence
Rana_pipiens_Transcript_079797	0.798789	DC104469 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl235p17 5', mRNA sequence
Rana_pipiens_Transcript_083366	1.943E-173	DC025004 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone rxlk72c13ex 3', mRNA sequence
Rana_pipiens_Transcript_084046	9.903E-93	AGENCOURT_13999564 NICHD_XGC_Tad1 Xenopus laevis cDNA clone IMAGE:6937668 5', mRNA sequence
Rana_pipiens_Transcript_085973		not available
Rana_pipiens_Transcript_087356	8.759E-171	BP707091 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL519l13ex 5', mRNA sequence
Rana_pipiens_Transcript_089070	3.449E-68	AGENCOURT_15596567 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:7020566 5', mRNA sequence
Rana_pipiens_Transcript_093078		not available
Rana_pipiens_Transcript_093152		not available
Rana_pipiens_Transcript_094960		not available
Rana_pipiens_Transcript_095502	4.744E-78	daa31b01.y1 NICHD_XGC_Lu1 Xenopus laevis cDNA clone IMAGE:4057680 5' similar to TR:O95875 O95875 BAT2, mRNA sequence
Rana_pipiens_Transcript_097418	2.51E-155	DC043526 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk124l03ex 5', mRNA sequence
Rana_pipiens_Transcript_098153	0.381198	AGENCOURT_15596365 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:7018912 5', mRNA sequence
Rana_pipiens_Transcript_098255	1.728E-96	AGENCOURT_8095101 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5542458 5', mRNA sequence
Rana_pipiens_Transcript_098823	0	BX845577 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGp998L099549; IMAGE:4202648 5', mRNA sequence
Rana_pipiens_Transcript_099122	1.442E-52	AGENCOURT_74337069 NICHD_XGC_tail_m Xenopus laevis cDNA clone IMAGE:8543468 5', mRNA sequence
Rana_pipiens_Transcript_099635	4.004E-100	AGENCOURT_11263797 NICHD_XGC_Tad2 Xenopus laevis cDNA clone IMAGE:6876233 5', mRNA sequence
Rana_pipiens_Transcript_100060	4.077E-170	AGENCOURT_14215956 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6947250 5', mRNA sequence
Rana_pipiens_Transcript_100064		not available
Rana_pipiens_Transcript_100066		not available
Rana_pipiens_Transcript_102042	1.066E-179	DC015278 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone rxlk140c05ex 3', mRNA sequence
Rana_pipiens_Transcript_103309		not available
Rana_pipiens_Transcript_103314	8.435E-96	AGENCOURT_55716382 NICHD_XGC_FaBN Xenopus laevis cDNA clone IMAGE:8076508 5', mRNA sequence
Rana_pipiens_Transcript_106561		not available
Rana_pipiens_Transcript_106721	4.092E-151	AGENCOURT_39734152 NICHD_XGC_Te2N Xenopus laevis cDNA clone IMAGE:7764531 5', mRNA sequence
Rana_pipiens_Transcript_106783		not available
Rana_pipiens_Transcript_107172	1.758E-137	BP700707 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL490i23ex 5', mRNA sequence
Rana_pipiens_Transcript_107671	8.99E-142	xl11035H01F_1351707 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11035H01 5', mRNA sequence
Rana_pipiens_Transcript_107678	4.191E-34	BJ055883 NIBB Mochii normalized Xenopus neurula library Xenopus laevis cDNA clone XL050p23 3', mRNA sequence
Rana_pipiens_Transcript_111108	9.209E-39	AGENCOURT_73656268 NICHD_XGC_olfb Xenopus laevis cDNA clone IMAGE:8539844 5', mRNA sequence
Rana_pipiens_Transcript_112942		not available
Rana_pipiens_Transcript_112961		not available
Rana_pipiens_Transcript_113120		not available
Rana_pipiens_Transcript_113124		not available
Rana_pipiens_Transcript_113152	6.696E-123	AGENCOURT_27973518 Blumberg_Cho dorsal blastopore lip Xenopus laevis cDNA clone IMAGE:7296999 3', mRNA sequence
Rana_pipiens_Transcript_113331	7.967E-38	xl11015H04F_1289879 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11015H04 5', mRNA sequence
Rana_pipiens_Transcript_113351	0	AGENCOURT_14233740 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6958458 5', mRNA sequence
Rana_pipiens_Transcript_113484	5.329E-159	BP705924 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL516f10ex 5', mRNA sequence
Rana_pipiens_Transcript_113843	2.335E-19	AGENCOURT_19149320 NICHD_XGC_Te2 Xenopus laevis cDNA clone IMAGE:7207568 5', mRNA sequence
Rana_pipiens_Transcript_113889	1.554E-65	DC119286 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl286h06 5', mRNA sequence
Rana_pipiens_Transcript_113893	2.257E-65	DC130567 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl325b23 5', mRNA sequence
Rana_pipiens_Transcript_113958	3.887E-159	AGENCOURT_14233207 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:6955719 5', mRNA sequence
Rana_pipiens_Transcript_114014	3.039E-158	AGENCOURT_14233207 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:6955719 5', mRNA sequence
Rana_pipiens_Transcript_114188		not available
Rana_pipiens_Transcript_114886		not available
Rana_pipiens_Transcript_114904		not available
Rana_pipiens_Transcript_114934	1.615E-54	AGENCOURT_14218855 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6947076 5', mRNA sequence
Rana_pipiens_Transcript_115125		not available
Rana_pipiens_Transcript_115403	7.319E-26	DC033767 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk54b12ex 5', mRNA sequence
Rana_pipiens_Transcript_115440	2.333E-68	AGENCOURT_11245555 NICHD_XGC_Tad2 Xenopus laevis cDNA clone IMAGE:6872788 5', mRNA sequence
Rana_pipiens_Transcript_115943		not available
Rana_pipiens_Transcript_116096		not available
Rana_pipiens_Transcript_116811	1.948E-153	AGENCOURT_14234771 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6958911 5', mRNA sequence
Rana_pipiens_Transcript_117174	0.430791	AGENCOURT_11278884 Wellcome CRC pSK egg Xenopus laevis cDNA clone IMAGE:6871608 5', mRNA sequence
Rana_pipiens_Transcript_117345		not available
Rana_pipiens_Transcript_117513		not available
Rana_pipiens_Transcript_117616	2.128E-32	AGENCOURT_87456543 NICHD_XGC_panc Xenopus laevis cDNA clone IMAGE:8734744 3', mRNA sequence
Rana_pipiens_Transcript_118000		not available
Rana_pipiens_Transcript_118001		not available
Rana_pipiens_Transcript_118164	1.226E-127	xl11079H10R_1384032 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11079H10 3', mRNA sequence
Rana_pipiens_Transcript_118219	0	BX847934 NICHD_XGC_Sp1 Xenopus laevis cDNA clone IMAGp998F019473; IMAGE:4173312 5', mRNA sequence
Rana_pipiens_Transcript_118597	2.95386	AGENCOURT_10184088 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGE:6318340 5', mRNA sequence
Rana_pipiens_Transcript_119295		not available
