Upregulated:
Rana_pipiens_Transcript_015639	XM_018094456.1	kinesin family member 1A%2C transcript variant X8
Rana_pipiens_Transcript_024877	XM_018224557.1	septin-2A-like
Rana_pipiens_Transcript_036287	NM_001086872.1	ribosomal protein L3 L homeolog
Rana_pipiens_Transcript_036287	NM_001126603.1	ribosomal protein L3
Rana_pipiens_Transcript_042534	NM_001001229.2	heat shock protein family A (Hsp70) member 9
Rana_pipiens_Transcript_042534	NM_001086158.1	heat shock protein family A (Hsp70) member 9 S homeolog
Rana_pipiens_Transcript_048338	XM_018224470.1	seizure 6-like protein
Rana_pipiens_Transcript_057057	NM_001095297.1	RAP1%2C GTP-GDP dissociation stimulator 1 S homeolog
Rana_pipiens_Transcript_057057	XM_002936739.3	RAP1%2C GTP-GDP dissociation stimulator 1%2C transcript variant X1
Rana_pipiens_Transcript_084046	XM_018236252.1	trinucleotide repeat-containing gene 18 protein-like
Rana_pipiens_Transcript_085973	XM_012970151.2	mitogen-activated protein kinase 8 interacting protein 3%2C transcript variant X13
Rana_pipiens_Transcript_085973	XM_018236469.1	C-Jun-amino-terminal kinase-interacting protein 3-like%2C transcript variant X4
Rana_pipiens_Transcript_095502	NM_001087247.1	proline-rich coiled-coil 2A L homeolog
Rana_pipiens_Transcript_095502	XM_018096579.1	proline-rich coiled-coil 2A%2C transcript variant X5
Rana_pipiens_Transcript_100060	NM_001086642.1	dihydropyrimidinase like 3 L homeolog
Rana_pipiens_Transcript_115125	NM_001015984.3	nucleosome assembly protein 1-like 1%2C transcript variant 2
Rana_pipiens_Transcript_115125	XM_018250713.1	nucleosome assembly protein 1-like 1 S homeolog%2C transcript variant X1
Rana_pipiens_Transcript_116811	XM_018096378.1	teneurin transmembrane protein 1
Rana_pipiens_Transcript_116811	XM_018229820.1	teneurin-1
Rana_pipiens_Transcript_117513	NM_001045677.1	drebrin 1
Rana_pipiens_Transcript_117513	XM_018252222.1	drebrin-like%2C transcript variant X7
Rana_pipiens_Transcript_123235	NM_001078714.2	ATPase%2C H+ transporting%2C lysosomal 56/58kDa%2C V1 subunit B2
Rana_pipiens_Transcript_126054	XM_012967792.2	spectrin%2C alpha%2C non-erythrocytic 1%2C transcript variant X1
Rana_pipiens_Transcript_126054	XM_018241046.1	spectrin%2C alpha%2C non-erythrocytic 1 L homeolog
Rana_pipiens_Transcript_126897	XM_018224210.1	uncharacterized LOC100037114%2C transcript variant X1
Rana_pipiens_Transcript_127270	XM_018237178.1	serine/arginine-rich splicing factor 6 S homeolog%2C transcript variant X1
Rana_pipiens_Transcript_130471	NM_001035116.1	RAP2A%2C member of RAS oncogene family
Rana_pipiens_Transcript_130471	NM_001087246.1	RAP2A%2C member of RAS oncogene family S homeolog
Rana_pipiens_Transcript_131011	XM_002934289.4	neurofilament%2C heavy polypeptide
Rana_pipiens_Transcript_131695	NM_001102793.1	complexin 1
Rana_pipiens_Transcript_131695	XM_018239921.1	complexin-1%2C transcript variant X2
Rana_pipiens_Transcript_136297	NM_001008026.1	cell division cycle 42%2C transcript variant 1
Rana_pipiens_Transcript_136297	XM_018227912.1	cell division control protein 42 homolog%2C transcript variant X2
Rana_pipiens_Transcript_136826	NM_001007104.1	prostaglandin E synthase 3
Rana_pipiens_Transcript_136826	XM_018250049.1	prostaglandin E synthase 3
Rana_pipiens_Transcript_139788	XM_018091891.1	coronin%2C actin binding protein%2C 1C%2C transcript variant X2
Rana_pipiens_Transcript_139788	XM_018243032.1	coronin%2C actin binding protein%2C 1C L homeolog%2C transcript variant X3
Rana_pipiens_Transcript_145132	NM_001032334.1	Nedd4 family interacting protein 1
Rana_pipiens_Transcript_145132	XM_018250992.1	Nedd4 family interacting protein 1 L homeolog%2C transcript variant X3
Rana_pipiens_Transcript_148267	XM_018093460.1	neurexin 2%2C transcript variant X6
Rana_pipiens_Transcript_148267	XM_018259945.1	neurexin-2-beta-like%2C transcript variant X3
Rana_pipiens_Transcript_156525	XM_004915314.2	cadherin 6%2C type 2%2C K-cadherin (fetal kidney)%2C transcript variant X1
