"Query"	"Lowest E-value"	"Description (E-value)"
Rana_pipiens_Transcript_004127	1.791E-8	AL675847 XGC-gastrula Xenopus tropicalis cDNA clone TGas051n23 5', mRNA sequence
Rana_pipiens_Transcript_005302	0.0129307	CBST9644.fwd NICHD_XGC_tropThy1 Xenopus tropicalis cDNA clone IMAGE:8930149 5', mRNA sequence
Rana_pipiens_Transcript_006037		not available
Rana_pipiens_Transcript_007487	0	JGI_XZT37663.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7614129 5', mRNA sequence
Rana_pipiens_Transcript_007788		not available
Rana_pipiens_Transcript_008016		not available
Rana_pipiens_Transcript_009811	0	JGI_CABK2445.rev NIH_XGC_tropSpl1 Xenopus tropicalis cDNA clone IMAGE:7878253 3', mRNA sequence
Rana_pipiens_Transcript_010934		not available
Rana_pipiens_Transcript_011387	1.672E-129	JGI_CAAL8155.fwd NIH_XGC_tropBrn4 Xenopus tropicalis cDNA clone IMAGE:7666177 5', mRNA sequence
Rana_pipiens_Transcript_011900		not available
Rana_pipiens_Transcript_013766	0	JGI_CAAL11433.rev NIH_XGC_tropBrn4 Xenopus tropicalis cDNA clone IMAGE:7668774 3', mRNA sequence
Rana_pipiens_Transcript_014062	8.806E-107	JGI_CAAL21949.fwd NIH_XGC_tropBrn4 Xenopus tropicalis cDNA clone IMAGE:7673561 5', mRNA sequence
Rana_pipiens_Transcript_014063	8.701E-107	JGI_CAAL21949.fwd NIH_XGC_tropBrn4 Xenopus tropicalis cDNA clone IMAGE:7673561 5', mRNA sequence
Rana_pipiens_Transcript_015639		not available
Rana_pipiens_Transcript_015920	0	JGI_CAAQ6837.rev NIH_XGC_tropHrt1 Xenopus tropicalis cDNA clone IMAGE:7726952 3', mRNA sequence
Rana_pipiens_Transcript_018432		not available
Rana_pipiens_Transcript_022409	6.645E-67	CR445953 XGC-tailbud Xenopus tropicalis cDNA clone TTbA032a02 5', mRNA sequence
Rana_pipiens_Transcript_023205		not available
Rana_pipiens_Transcript_023251		not available
Rana_pipiens_Transcript_023732		not available
Rana_pipiens_Transcript_024734		not available
Rana_pipiens_Transcript_024761	4.672E-83	AGENCOURT_15064518 NICHD_XGC_Emb7 Xenopus tropicalis cDNA clone IMAGE:6976707 5', mRNA sequence
Rana_pipiens_Transcript_024877		not available
Rana_pipiens_Transcript_028303		not available
Rana_pipiens_Transcript_028312	1.421E-120	JGI_CAAK8383.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7659082 5', mRNA sequence
Rana_pipiens_Transcript_029821		not available
Rana_pipiens_Transcript_029962	1.996E-145	JGI_XZG4089.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7521306 5', mRNA sequence
Rana_pipiens_Transcript_029965	2.007E-145	JGI_XZG4089.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7521306 5', mRNA sequence
Rana_pipiens_Transcript_029966	1.975E-145	JGI_XZG4089.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7521306 5', mRNA sequence
Rana_pipiens_Transcript_030062		not available
Rana_pipiens_Transcript_030063		not available
Rana_pipiens_Transcript_030064	1.179E-70	DC184573 Xenopus tropicalis embryo gastrula Xenopus tropicalis cDNA clone st72i15 5', mRNA sequence
Rana_pipiens_Transcript_030069	4.222E-70	DC184573 Xenopus tropicalis embryo gastrula Xenopus tropicalis cDNA clone st72i15 5', mRNA sequence
Rana_pipiens_Transcript_031634		not available
Rana_pipiens_Transcript_032583		not available
Rana_pipiens_Transcript_032594		not available
Rana_pipiens_Transcript_034142	0	JGI_CABI13683.rev NIH_XGC_tropOvi1 Xenopus tropicalis cDNA clone IMAGE:7865848 3', mRNA sequence
Rana_pipiens_Transcript_034665	4.256E-177	JGI_CAAJ14486.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7644432 5', mRNA sequence
Rana_pipiens_Transcript_036287	1.351E-58	CBSW6449.b1 NICHD_XGC_tropTail_m Xenopus tropicalis cDNA clone IMAGE:8908136 5', mRNA sequence
Rana_pipiens_Transcript_037459	1.514E-155	JGI_CABH7096.rev NIH_XGC_tropSkeMus1 Xenopus tropicalis cDNA clone IMAGE:7850375 3', mRNA sequence
Rana_pipiens_Transcript_037946		not available
Rana_pipiens_Transcript_040017	1.886E-56	AGENCOURT_14908042 NICHD_XGC_Emb8 Xenopus tropicalis cDNA clone IMAGE:6984882 5', mRNA sequence
Rana_pipiens_Transcript_040901		not available
Rana_pipiens_Transcript_040903		not available
Rana_pipiens_Transcript_041028	5.84E-111	JGI_XZT42078.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7617538 5', mRNA sequence
Rana_pipiens_Transcript_042529	6.059E-31	JGI_XZT5240.rev NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone XZT5240 3', mRNA sequence
Rana_pipiens_Transcript_042531	0	CR423615 XGC-tailbud Xenopus tropicalis cDNA clone TTbA071c07 5', mRNA sequence
Rana_pipiens_Transcript_042533	1.015E-30	JGI_XZT5240.rev NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone XZT5240 3', mRNA sequence
Rana_pipiens_Transcript_042534	0	CR423615 XGC-tailbud Xenopus tropicalis cDNA clone TTbA071c07 5', mRNA sequence
Rana_pipiens_Transcript_048338	0	JGI_CAAJ14621.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7644753 5', mRNA sequence
Rana_pipiens_Transcript_048344	0	JGI_CAAJ14621.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7644753 5', mRNA sequence
Rana_pipiens_Transcript_051210		not available
Rana_pipiens_Transcript_052251	1.075E-136	AL632796 XGC-gastrula Xenopus tropicalis cDNA clone TGas021l15 5', mRNA sequence
Rana_pipiens_Transcript_052751		not available
Rana_pipiens_Transcript_052777	2.484E-157	CR580665 XGC-tailbud-head Xenopus tropicalis cDNA clone THdA031i02 5', mRNA sequence
Rana_pipiens_Transcript_053101		not available
Rana_pipiens_Transcript_057057	1.473E-174	AGENCOURT_15660089 NICHD_XGC_Swb1N Xenopus tropicalis cDNA clone IMAGE:7021993 5', mRNA sequence
Rana_pipiens_Transcript_058966	6.081E-23	AGENCOURT_103367993 NICHD_XGC_tropInt_63 Xenopus tropicalis cDNA clone IMAGE:8961406 5', mRNA sequence
Rana_pipiens_Transcript_058967	6.064E-23	AGENCOURT_103367993 NICHD_XGC_tropInt_63 Xenopus tropicalis cDNA clone IMAGE:8961406 5', mRNA sequence
Rana_pipiens_Transcript_062793		not available
Rana_pipiens_Transcript_065174	2.13E-64	JGI_CABJ1731.fwd NIH_XGC_tropSki1 Xenopus tropicalis cDNA clone IMAGE:7866988 5', mRNA sequence
Rana_pipiens_Transcript_068328	3.577E-138	JGI_CAAJ428.rev NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7640485 3', mRNA sequence
Rana_pipiens_Transcript_068521	0	JGI_CABK5679.fwd NIH_XGC_tropSpl1 Xenopus tropicalis cDNA clone IMAGE:7881414 5', mRNA sequence
Rana_pipiens_Transcript_069491		not available
Rana_pipiens_Transcript_070199	2.255E-120	JGI_XZG7157.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7524568 5', mRNA sequence
Rana_pipiens_Transcript_070275		not available
Rana_pipiens_Transcript_071024	4.756E-69	JGI_XZT60602.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7635034 5', mRNA sequence
